[12:18:48.378] ReinstallHook: OK
[12:18:53.390] ReinstallHook: OK
[12:18:58.414] ReinstallHook: OK
[12:19:03.419] ReinstallHook: OK
[12:19:08.424] ReinstallHook: OK
[12:19:13.430] ReinstallHook: OK
[12:19:18.417] ReinstallHook: OK
[12:19:23.423] ReinstallHook: OK
[12:19:28.429] ReinstallHook: OK
[12:19:33.419] ReinstallHook: OK
[12:19:38.430] ReinstallHook: OK
[12:19:43.427] ReinstallHook: OK
[12:19:48.418] ReinstallHook: OK
[12:19:53.422] ReinstallHook: OK
[12:19:58.429] ReinstallHook: OK
[12:20:03.422] ReinstallHook: OK
[12:20:08.427] ReinstallHook: OK
[12:20:13.420] ReinstallHook: OK
[12:20:18.417] ReinstallHook: OK
[12:20:23.426] ReinstallHook: OK
[12:20:28.422] ReinstallHook: OK
[12:20:33.430] ReinstallHook: OK
[12:20:38.441] ReinstallHook: OK
[12:20:43.437] ReinstallHook: OK
[12:20:48.461] ReinstallHook: OK
[12:20:53.456] ReinstallHook: OK
[12:20:58.453] ReinstallHook: OK
[12:21:03.455] ReinstallHook: OK
[12:21:08.450] ReinstallHook: OK
[12:21:13.455] ReinstallHook: OK
[12:21:18.459] ReinstallHook: OK
[12:21:23.452] ReinstallHook: OK
[12:21:28.450] ReinstallHook: OK
[12:21:33.454] ReinstallHook: OK
[12:21:38.460] ReinstallHook: OK
[12:21:43.455] ReinstallHook: OK
[12:21:48.447] ReinstallHook: OK
[12:21:53.454] ReinstallHook: OK
[12:21:58.461] ReinstallHook: OK
[12:22:03.450] ReinstallHook: OK
[12:22:08.456] ReinstallHook: OK
[12:22:13.448] ReinstallHook: OK
[12:22:18.453] ReinstallHook: OK
[12:22:23.457] ReinstallHook: OK
[12:22:28.452] ReinstallHook: OK
[12:22:33.458] ReinstallHook: OK
[12:22:38.448] ReinstallHook: OK
[12:22:43.451] ReinstallHook: OK
[12:22:48.456] ReinstallHook: OK
[12:22:53.461] ReinstallHook: OK
[12:22:58.453] ReinstallHook: OK
[12:23:03.449] ReinstallHook: OK
[12:23:08.455] ReinstallHook: OK
[12:23:13.447] ReinstallHook: OK
[12:23:18.453] ReinstallHook: OK
[12:23:23.457] ReinstallHook: OK
[12:23:28.456] ReinstallHook: OK
[12:23:33.461] ReinstallHook: OK
[12:23:38.450] ReinstallHook: OK
[12:23:43.456] ReinstallHook: OK
[12:23:48.448] ReinstallHook: OK
[12:23:53.450] ReinstallHook: OK
[12:23:58.447] ReinstallHook: OK
[12:24:03.460] ReinstallHook: OK
[12:24:08.447] ReinstallHook: OK
[12:24:13.454] ReinstallHook: OK
[12:24:18.457] ReinstallHook: OK
[12:24:23.449] ReinstallHook: OK
[12:24:28.453] ReinstallHook: OK
[12:24:33.458] ReinstallHook: OK
[12:24:38.459] ReinstallHook: OK
[12:24:43.461] ReinstallHook: OK
[12:24:48.454] ReinstallHook: OK
[12:24:53.457] ReinstallHook: OK
[12:24:58.461] ReinstallHook: OK
[12:25:03.449] ReinstallHook: OK
[12:25:08.453] ReinstallHook: OK
[12:25:13.452] ReinstallHook: OK
[12:25:18.450] ReinstallHook: OK
[12:25:23.455] ReinstallHook: OK
[12:25:28.455] ReinstallHook: OK
[12:25:33.471] ReinstallHook: OK
[12:25:38.475] ReinstallHook: OK
[12:25:43.477] ReinstallHook: OK
[12:25:48.469] ReinstallHook: OK
[12:25:53.476] ReinstallHook: OK
[12:25:58.463] ReinstallHook: OK
[12:26:03.468] ReinstallHook: OK
[12:26:08.467] ReinstallHook: OK
[12:26:13.468] ReinstallHook: OK
[12:26:18.468] ReinstallHook: OK
[12:26:23.473] ReinstallHook: OK
[12:26:28.476] ReinstallHook: OK
[12:26:33.470] ReinstallHook: OK
[12:26:38.465] ReinstallHook: OK
[12:26:43.474] ReinstallHook: OK
[12:26:48.466] ReinstallHook: OK
[12:26:53.475] ReinstallHook: OK
[12:26:58.466] ReinstallHook: OK
[12:27:03.471] ReinstallHook: OK
[12:27:08.473] ReinstallHook: OK
[12:27:13.467] ReinstallHook: OK
[12:27:18.471] ReinstallHook: OK
[12:27:23.473] ReinstallHook: OK
[12:27:28.468] ReinstallHook: OK
[12:27:33.476] ReinstallHook: OK
[12:27:38.464] ReinstallHook: OK
[12:27:43.470] ReinstallHook: OK
[12:27:48.476] ReinstallHook: OK
[12:27:53.468] ReinstallHook: OK
[12:27:58.472] ReinstallHook: OK
[12:28:03.467] ReinstallHook: OK
[12:28:08.465] ReinstallHook: OK
[12:28:13.475] ReinstallHook: OK
[12:28:18.467] ReinstallHook: OK
[12:28:23.476] ReinstallHook: OK
[12:28:28.474] ReinstallHook: OK
[12:28:33.464] ReinstallHook: OK
[12:28:38.469] ReinstallHook: OK
[12:28:43.463] ReinstallHook: OK
[12:28:48.470] ReinstallHook: OK
[12:28:53.477] ReinstallHook: OK
[12:28:58.464] ReinstallHook: OK
[12:29:03.466] ReinstallHook: OK
[12:29:08.472] ReinstallHook: OK
[12:29:13.474] ReinstallHook: OK
[12:29:18.477] ReinstallHook: OK
[12:29:23.472] ReinstallHook: OK
[12:29:28.477] ReinstallHook: OK
[12:29:33.470] ReinstallHook: OK
[12:29:38.470] ReinstallHook: OK
[12:29:43.475] ReinstallHook: OK
[12:29:48.477] ReinstallHook: OK
[12:29:53.465] ReinstallHook: OK
[12:29:58.470] ReinstallHook: OK
[12:30:03.478] ReinstallHook: OK
[12:30:08.483] ReinstallHook: OK
[12:30:13.490] ReinstallHook: OK
[12:30:18.492] ReinstallHook: OK
[12:30:23.485] ReinstallHook: OK
[12:30:28.487] ReinstallHook: OK
[12:30:33.488] ReinstallHook: OK
[12:30:38.487] ReinstallHook: OK
[12:30:43.493] ReinstallHook: OK
[12:30:48.482] ReinstallHook: OK
[12:30:53.485] ReinstallHook: OK
[12:30:58.487] ReinstallHook: OK
[12:31:03.493] ReinstallHook: OK
[12:31:08.486] ReinstallHook: OK
[12:31:13.492] ReinstallHook: OK
[12:31:18.489] ReinstallHook: OK
[12:31:23.483] ReinstallHook: OK
[12:31:28.485] ReinstallHook: OK
[12:31:33.502] ReinstallHook: OK
[12:31:38.503] ReinstallHook: OK
[12:31:43.505] ReinstallHook: OK
[12:31:48.508] ReinstallHook: OK
[12:31:53.497] ReinstallHook: OK
[12:31:58.499] ReinstallHook: OK
[12:32:03.504] ReinstallHook: OK
[12:32:08.495] ReinstallHook: OK
[12:32:13.505] ReinstallHook: OK
[12:32:18.495] ReinstallHook: OK
[12:32:23.504] ReinstallHook: OK
[12:32:28.498] ReinstallHook: OK
[12:32:33.504] ReinstallHook: OK
[12:32:38.496] ReinstallHook: OK
[12:32:43.497] ReinstallHook: OK
[12:32:48.503] ReinstallHook: OK
[12:32:53.504] ReinstallHook: OK
[12:32:58.506] ReinstallHook: OK
[12:33:03.494] ReinstallHook: OK
[12:33:08.500] ReinstallHook: OK
[12:33:13.507] ReinstallHook: OK
[12:33:18.493] ReinstallHook: OK
[12:33:23.497] ReinstallHook: OK
[12:33:28.502] ReinstallHook: OK
[12:33:33.504] ReinstallHook: OK
[12:33:38.504] ReinstallHook: OK
[12:33:43.503] ReinstallHook: OK
[12:33:48.502] ReinstallHook: OK
[12:33:53.505] ReinstallHook: OK
[12:33:58.507] ReinstallHook: OK
[12:34:03.496] ReinstallHook: OK
[12:34:08.498] ReinstallHook: OK
[12:34:13.503] ReinstallHook: OK
[12:34:18.504] ReinstallHook: OK
[12:34:23.496] ReinstallHook: OK
[12:34:28.500] ReinstallHook: OK
[12:34:33.502] ReinstallHook: OK
[12:34:38.505] ReinstallHook: OK
[12:34:43.509] ReinstallHook: OK
[12:34:48.498] ReinstallHook: OK
[12:34:53.503] ReinstallHook: OK
[12:34:58.495] ReinstallHook: OK
[12:35:03.518] ReinstallHook: OK
[12:35:08.511] ReinstallHook: OK
[12:35:13.523] ReinstallHook: OK
[12:35:18.518] ReinstallHook: OK
[12:35:23.519] ReinstallHook: OK
[12:35:28.524] ReinstallHook: OK
[12:35:33.509] ReinstallHook: OK
[12:35:38.519] ReinstallHook: OK
[12:35:43.511] ReinstallHook: OK
[12:35:48.518] ReinstallHook: OK
[12:35:53.513] ReinstallHook: OK
[12:35:58.519] ReinstallHook: OK
[12:36:03.515] ReinstallHook: OK
[12:36:08.512] ReinstallHook: OK
[12:36:13.524] ReinstallHook: OK
[12:36:18.520] ReinstallHook: OK
[12:36:23.509] ReinstallHook: OK
[12:36:28.517] ReinstallHook: OK
[12:36:33.516] ReinstallHook: OK
[12:36:38.521] ReinstallHook: OK
[12:36:43.522] ReinstallHook: OK
[12:36:48.540] ReinstallHook: OK
[12:36:53.538] ReinstallHook: OK
[12:36:58.525] ReinstallHook: OK
[12:37:03.529] ReinstallHook: OK
[12:37:08.527] ReinstallHook: OK
[12:37:13.531] ReinstallHook: OK
[12:37:18.540] ReinstallHook: OK
[12:37:23.529] ReinstallHook: OK
[12:37:28.534] ReinstallHook: OK
[12:37:29.176] KEY vk=0xD (13), modKey=0, capturing=0
[12:37:29.784] KEY vk=0x62 (98), modKey=0, capturing=0
[12:37:30.045] KEY vk=0x64 (100), modKey=0, capturing=0
[12:37:30.309] KEY vk=0x65 (101), modKey=0, capturing=0
[12:37:30.573] KEY vk=0x66 (102), modKey=0, capturing=0
[12:37:33.528] ReinstallHook: OK
[12:37:38.548] ReinstallHook: OK
[12:37:43.553] ReinstallHook: OK
[12:37:48.555] ReinstallHook: OK
[12:37:53.552] ReinstallHook: OK
[12:37:58.545] ReinstallHook: OK
[12:38:03.548] ReinstallHook: OK
[12:38:08.551] ReinstallHook: OK
[12:38:13.542] ReinstallHook: OK
[12:38:18.551] ReinstallHook: OK
[12:38:23.546] ReinstallHook: OK
[12:38:28.542] ReinstallHook: OK
[12:38:33.547] ReinstallHook: OK
[12:38:38.569] ReinstallHook: OK
[12:38:43.562] ReinstallHook: OK
[12:38:48.568] ReinstallHook: OK
[12:38:53.562] ReinstallHook: OK
[12:38:58.557] ReinstallHook: OK
[12:39:03.567] ReinstallHook: OK
[12:39:08.586] ReinstallHook: OK
[12:39:10.756] KEY vk=0xD (13), modKey=0, capturing=0
[12:39:12.026] KEY vk=0xD (13), modKey=0, capturing=0
[12:39:13.577] ReinstallHook: OK
[12:39:18.585] ReinstallHook: OK
[12:39:23.573] ReinstallHook: OK
[12:39:28.598] ReinstallHook: OK
[12:39:33.590] ReinstallHook: OK
[12:39:38.587] ReinstallHook: OK
[12:39:43.594] ReinstallHook: OK
[12:39:48.604] ReinstallHook: OK
[12:39:53.604] ReinstallHook: OK
[12:39:58.613] ReinstallHook: OK
[12:40:03.622] ReinstallHook: OK
[12:40:08.627] ReinstallHook: OK
[12:40:13.620] ReinstallHook: OK
[12:40:18.623] ReinstallHook: OK
[12:40:23.632] ReinstallHook: OK
[12:40:28.625] ReinstallHook: OK
[12:40:33.648] ReinstallHook: OK
[12:40:38.637] ReinstallHook: OK
[12:40:43.649] ReinstallHook: OK
[12:40:48.639] ReinstallHook: OK
[12:40:53.652] ReinstallHook: OK
[12:40:58.657] ReinstallHook: OK
[12:41:03.649] ReinstallHook: OK
[12:41:08.677] ReinstallHook: OK
[12:41:13.671] ReinstallHook: OK
[12:41:18.677] ReinstallHook: OK
[12:41:23.672] ReinstallHook: OK
[12:41:28.674] ReinstallHook: OK
[12:41:33.680] ReinstallHook: OK
[12:41:38.670] ReinstallHook: OK
[12:41:43.676] ReinstallHook: OK
[12:41:48.666] ReinstallHook: OK
[12:41:53.687] ReinstallHook: OK
[12:41:58.698] ReinstallHook: OK
[12:42:03.705] ReinstallHook: OK
[12:42:08.698] ReinstallHook: OK
[12:42:12.101] KEY vk=0xD (13), modKey=0, capturing=0
[12:42:13.511] KEY vk=0xA0 (160), modKey=0, capturing=0
[12:42:13.518] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:42:13.697] ReinstallHook: OK
[12:42:14.389] KEY vk=0x42 (66), modKey=0, capturing=0
[12:42:14.496] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:14.613] KEY vk=0x43 (67), modKey=0, capturing=0
[12:42:14.830] KEY vk=0x52 (82), modKey=0, capturing=0
[12:42:14.992] KEY vk=0x46 (70), modKey=0, capturing=0
[12:42:15.108] KEY vk=0xBA (186), modKey=0, capturing=0
[12:42:15.219] KEY vk=0x42 (66), modKey=0, capturing=0
[12:42:15.501] KEY vk=0x4E (78), modKey=0, capturing=0
[12:42:15.618] KEY vk=0x54 (84), modKey=0, capturing=0
[12:42:15.714] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:15.903] KEY vk=0x56 (86), modKey=0, capturing=0
[12:42:16.013] KEY vk=0x59 (89), modKey=0, capturing=0
[12:42:16.166] KEY vk=0x54 (84), modKey=0, capturing=0
[12:42:16.245] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:16.432] KEY vk=0x58 (88), modKey=0, capturing=0
[12:42:16.475] KEY vk=0x4E (78), modKey=0, capturing=0
[12:42:16.592] KEY vk=0x4A (74), modKey=0, capturing=0
[12:42:16.794] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:17.026] KEY vk=0xDE (222), modKey=0, capturing=0
[12:42:17.320] KEY vk=0x4E (78), modKey=0, capturing=0
[12:42:17.507] KEY vk=0x4A (74), modKey=0, capturing=0
[12:42:17.610] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:17.733] KEY vk=0x59 (89), modKey=0, capturing=0
[12:42:17.808] KEY vk=0x54 (84), modKey=0, capturing=0
[12:42:17.882] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:18.161] KEY vk=0x44 (68), modKey=0, capturing=0
[12:42:18.180] KEY vk=0x46 (70), modKey=0, capturing=0
[12:42:18.577] KEY vk=0x8 (8), modKey=0, capturing=0
[12:42:18.698] ReinstallHook: OK
[12:42:19.062] KEY vk=0x53 (83), modKey=0, capturing=0
[12:42:19.324] KEY vk=0x55 (85), modKey=0, capturing=0
[12:42:19.521] KEY vk=0x4B (75), modKey=0, capturing=0
[12:42:19.612] KEY vk=0x5A (90), modKey=0, capturing=0
[12:42:19.737] KEY vk=0x4C (76), modKey=0, capturing=0
[12:42:19.864] KEY vk=0x42 (66), modKey=0, capturing=0
[12:42:20.021] KEY vk=0x4E (78), modKey=0, capturing=0
[12:42:20.119] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:20.281] KEY vk=0x46 (70), modKey=0, capturing=0
[12:42:20.408] KEY vk=0x50 (80), modKey=0, capturing=0
[12:42:20.434] KEY vk=0xDB (219), modKey=0, capturing=0
[12:42:20.511] KEY vk=0x45 (69), modKey=0, capturing=0
[12:42:20.951] KEY vk=0x8 (8), modKey=0, capturing=0
[12:42:21.091] KEY vk=0x8 (8), modKey=0, capturing=0
[12:42:21.243] KEY vk=0x8 (8), modKey=0, capturing=0
[12:42:21.411] KEY vk=0xDB (219), modKey=0, capturing=0
[12:42:21.524] KEY vk=0x45 (69), modKey=0, capturing=0
[12:42:21.695] KEY vk=0x54 (84), modKey=0, capturing=0
[12:42:21.884] KEY vk=0x59 (89), modKey=0, capturing=0
[12:42:22.010] KEY vk=0x59 (89), modKey=0, capturing=0
[12:42:22.089] KEY vk=0x4A (74), modKey=0, capturing=0
[12:42:22.262] KEY vk=0x20 (32), modKey=0, capturing=0
[12:42:22.453] KEY vk=0xD (13), modKey=0, capturing=0
[12:42:22.701] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:42:22.784] KEY vk=0x9 (9), modKey=0, capturing=0
[12:42:23.702] ReinstallHook: OK
[12:42:28.704] ReinstallHook: OK
[12:42:33.700] ReinstallHook: OK
[12:42:38.700] ReinstallHook: OK
[12:42:43.707] ReinstallHook: OK
[12:42:48.702] ReinstallHook: OK
[12:42:53.702] ReinstallHook: OK
[12:42:58.710] ReinstallHook: OK
[12:43:03.699] ReinstallHook: OK
[12:43:08.706] ReinstallHook: OK
[12:43:13.707] ReinstallHook: OK
[12:43:18.697] ReinstallHook: OK
[12:43:23.702] ReinstallHook: OK
[12:43:28.707] ReinstallHook: OK
[12:43:33.702] ReinstallHook: OK
[12:43:38.709] ReinstallHook: OK
[12:43:43.701] ReinstallHook: OK
[12:43:48.465] KEY vk=0xA2 (162), modKey=0, capturing=0
[12:43:48.466] KEY vk=0xA5 (165), modKey=0, capturing=0
[12:43:48.706] ReinstallHook: OK
[12:43:53.709] ReinstallHook: OK
[12:43:58.698] ReinstallHook: OK
[12:44:03.702] ReinstallHook: OK
[12:44:08.698] ReinstallHook: OK
[12:44:13.704] ReinstallHook: OK
[12:44:18.697] ReinstallHook: OK
[12:44:23.706] ReinstallHook: OK
[12:44:28.707] ReinstallHook: OK
[12:44:33.697] ReinstallHook: OK
[12:44:38.707] ReinstallHook: OK
[12:44:43.700] ReinstallHook: OK
[12:44:48.709] ReinstallHook: OK
[12:44:53.703] ReinstallHook: OK
[12:44:58.710] ReinstallHook: OK
[12:45:03.702] ReinstallHook: OK
[12:45:08.705] ReinstallHook: OK
[12:45:13.708] ReinstallHook: OK
[12:45:18.712] ReinstallHook: OK
[12:45:23.711] ReinstallHook: OK
[12:45:28.705] ReinstallHook: OK
[12:45:33.697] ReinstallHook: OK
[12:45:38.705] ReinstallHook: OK
[12:45:43.697] ReinstallHook: OK
[12:45:48.704] ReinstallHook: OK
[12:45:53.696] ReinstallHook: OK
[12:45:58.705] ReinstallHook: OK
[12:46:03.698] ReinstallHook: OK
[12:46:08.701] ReinstallHook: OK
[12:46:13.712] ReinstallHook: OK
[12:46:18.711] ReinstallHook: OK
[12:46:23.710] ReinstallHook: OK
